jobtitle,count
"Web Developer IV",48
"Web Developer III",54
"Web Developer II",50
"Web Developer I",72
"Web Designer IV",5
"Web Designer III",7
"Web Designer II",2
"Web Designer I",24
"VP Sales",2
"VP Quality Control",33
"VP Product Management",32
"VP of Training and Development",1
"VP Marketing",29
"VP Accounting",44
"Training Manager",120
"Trainer III",120
"Trainer II",133
"Trainer I",116
"Tax Accountant",214
"Systems Administrator IV",50
"Systems Administrator III",53
"Systems Administrator II",42
"Systems Administrator I",254
"Support Staff III",13
"Support Staff II",38
"Support Staff",65
"Structural Engineer",215
"Structural Analysis Engineer",31
"Statistician IV",1
"Statistician III",1
"Statistician II",9
"Statistician I",7
"Staff Scientist",18
"Staff Accountant IV",72
"Staff Accountant III",65
"Staff Accountant II",62
"Staff Accountant I",302
"Solutions Engineer Manager",150
"Solutions Engineer",144
"Software Test Engineer IV",57
"Software Test Engineer III",63
"Software Test Engineer II",48
"Software Test Engineer I",52
"Software Engineer IV",59
"Software Engineer III",61
"Software Engineer II",61
"Software Engineer I",278
"Software Consultant",231
"Service Tech III",226
"Service Tech II",222
"Service Tech",220
"Service Manager",231
"Service Coordinator",224
"Senior Trainer",124
"Senior Sales Associate",12
"Senior Recruiter",141
"Senior Quality Engineer",99
"Senior Financial Analyst",38
"Senior Editor",89
"Senior Developer",236
"Senior Cost Accountant",202
"Senior Attorney",26
"Sales Representative",5
"Sales Associate",4
"Research Associate",132
"Research Assistant IV",5
"Research Assistant III",14
"Research Assistant II",525
"Research Assistant I",371
"Research Assistant",28
"Relationshiop Manager",140
"Recruiting Manager",15
Recruiter,158
"Quality Engineer",44
"Quality Control Specialist",104
"Project Manager",229
"Programmer IV",44
"Programmer III",54
"Programmer II",54
"Programmer I",59
"Programmer Analyst IV",49
"Programmer Analyst III",56
"Programmer Analyst II",62
"Programmer Analyst I",62
"Product Engineer",39
"Pre-Sales Consultant",149
"Payment Adjustment Coordinator",14
Paralegal,42
Operator,153
"Office Assistant II",1
"Office Assistant I",6
"Media Manager II",33
"Media Manager I",88
"Mechanical Systems Engineer",20
"Marketing Manager",1
"Marketing Assistant",7
Librarian,17
"Legal Assistant",13
"Junior Trainer",127
"Internal Auditor",37
"Information Systems Manager",24
"Human Resources Manager",40
"Human Resources Assistant IV",6
"Human Resources Assistant III",11
"Human Resources Assistant II",9
"Human Resources Assistant I",10
"Human Resources Analyst II",429
"Human Resources Analyst",296
"HR Manager",142
"Help Desk Technician",240
"Help Desk Operator",66
"Graphic Designer",6
"General Manager",23
"Financial Analyst",51
"Financial Advisor",17
"Executive Secretary",2
"Executive Assistant",26
"Engineer IV",1
"Engineer III",4
"Engineer II",5
"Engineer I",7
"Electrical Engineer",19
Editor,66
"Director of Sales",4
"Developer IV",56
"Developer III",52
"Developer II",42
"Developer I",48
"Desktop Support Technician",218
"Design Engineer",35
"Database Administrator IV",45
"Database Administrator III",57
"Database Administrator II",59
"Database Administrator I",55
"Data Visualization Specialist",309
"Data Coordiator",252
"Customer Success Manager",139
"Cost Accountant",198
"Content Developer III",34
"Content Developer II",34
"Content Developer",37
"Computer Systems Analyst IV",54
"Computer Systems Analyst III",52
"Computer Systems Analyst II",72
"Computer Systems Analyst I",66
"Compensation Analyst",23
"Community Outreach Specialist",21
"Chief Design Engineer",64
"Business Systems Development Analyst",228
"Business Development Manager",3
"Business Analyst",474
"Budget/Accounting Analyst IV",123
"Budget/Accounting Analyst III",117
"Budget/Accounting Analyst II",104
"Budget/Accounting Analyst I",99
"Automation Specialist IV",17
"Automation Specialist III",12
"Automation Specialist II",18
"Automation Specialist I",20
Attorney,30
"Associate Professor",1
"Assistant Trainer",115
"Assistant Manager",25
"Analyst Programmer",249
"Analog Circuit Design manager",30
"Administrative Officer",42
"Administrative Assistant IV",5
"Administrative Assistant III",10
"Administrative Assistant II",28
"Administrative Assistant I",148
"Administrative Assistant",28
Actuary,16
"Accounting Assistant IV",64
"Accounting Assistant III",46
"Accounting Assistant II",57
"Accounting Assistant I",63
"Accountant IV",60
"Accountant III",60
"Accountant II",56
"Accountant I",60
"Account Manager",140
"Account Executive",340
"Account Coordinator",1
